version_id,local_language_id,name
1,1,赤
1,3,레드
1,5,Rouge
1,6,Rot
1,7,Rojo
1,8,Rossa
1,9,Red
2,1,緑
2,3,블루
2,5,Bleu
2,6,Blau
2,7,Azul
2,8,Blu
2,9,Blue
3,1,ピカチュウ
3,3,피카츄
3,5,Jaune
3,6,Gelb
3,7,Amarillo
3,8,Gialla
3,9,Yellow
4,1,金
4,3,골드
4,5,Or
4,6,Gold
4,7,Oro
4,8,Oro
4,9,Gold
5,1,銀
5,3,실버
5,5,Argent
5,6,Silber
5,7,Plata
5,8,Argento
5,9,Silver
6,1,クリスタル
6,3,크리스탈
6,5,Cristal
6,6,Kristall
6,7,Cristal
6,8,Cristallo
6,9,Crystal
7,1,ルビー
7,3,루비
7,5,Rubis
7,6,Rubin
7,7,Rubí
7,8,Rubino
7,9,Ruby
8,1,サファイア
8,3,사파이어
8,5,Saphir
8,6,Saphir
8,7,Zafiro
8,8,Zaffiro
8,9,Sapphire
9,1,エメラルド
9,3,에메랄드
9,5,Émeraude
9,6,Smaragd
9,7,Esmeralda
9,8,Smeraldo
9,9,Emerald
10,1,ファイアレッド
10,3,파이어레드
10,5,Rouge Feu
10,6,Feuerrot
10,7,Rojo Fuego
10,8,Rosso Fuoco
10,9,FireRed
11,1,リーフグリーン
11,3,리프그린
11,5,Vert Feuille
11,6,Blattgrün
11,7,Verde Hoja
11,8,Verde Foglia
11,9,LeafGreen
12,1,ダイヤモンド
12,3,디아루가
12,5,Diamant
12,6,Diamant
12,7,Diamante
12,8,Diamante
12,9,Diamond
13,1,パール
13,3,펄기아
13,5,Perle
13,6,Perl
13,7,Perla
13,8,Perla
13,9,Pearl
14,1,プラチナ
14,3,기라티나
14,5,Platine
14,6,Platin
14,7,Platino
14,8,Platino
14,9,Platinum
15,1,ハートゴールド
15,3,하트골드
15,5,Or HeartGold
15,6,HeartGold
15,7,Oro HeartGold
15,8,Oro HeartGold
15,9,HeartGold
16,1,ソウルシルバー
16,3,소울실버
16,5,Argent SoulSilver
16,6,SoulSilver
16,7,Plata SoulSilver
16,8,Argento SoulSilver
16,9,SoulSilver
17,1,ブラック
17,3,블랙
17,5,Noir
17,6,Schwarz
17,7,Negro
17,8,Nera
17,9,Black
18,1,ホワイト
18,3,화이트
18,5,Blanc
18,6,Weiß
18,7,Blanco
18,8,Bianca
18,9,White
19,1,コロシアム
19,3,콜로세움
19,5,Colosseum
19,6,Colosseum
19,7,Colosseum
19,8,Colosseum
19,9,Colosseum
20,1,XD
20,3,XD
20,5,XD
20,6,XD
20,7,XD
20,8,XD
20,9,XD
21,1,ブラック2
21,3,블랙 2
21,5,Noir 2
21,6,Schwarz 2
21,7,Negro 2
21,8,Nera 2
21,9,Black 2
22,1,ホワイト2
22,3,화이트 2
22,5,Blanc 2
22,6,Weiß 2
22,7,Blanco 2
22,8,Bianca 2
22,9,White 2
23,1,X
23,3,X
23,5,X
23,6,X
23,7,X
23,8,X
23,9,X
24,1,Y
24,3,Y
24,5,Y
24,6,Y
24,7,Y
24,8,Y
24,9,Y
25,1,オメガルビー
25,3,오메가루비
25,5,Rubis Oméga
25,6,Omega Rubin
25,7,Rubí Omega
25,8,Rubino Omega
25,9,Omega Ruby
26,1,アルファサファイア
26,3,알파사파이어
26,5,Saphir Alpha
26,6,Alpha Saphir
26,7,Zafiro Alfa
26,8,Zaffiro Alpha
26,9,Alpha Sapphire
27,1,サン
27,3,썬
27,5,Soleil
27,6,Sonne
27,7,Sol
27,8,Sole
27,9,Sun
28,1,ムーン
28,3,문
28,5,Lune
28,6,Mond
28,7,Luna
28,8,Luna
28,9,Moon
29,1,ウルトラサン
29,3,울트라썬
29,5,Ultra-Soleil
29,6,Ultrasonne
29,7,Ultrasol
29,8,Ultrasole
29,9,Ultra Sun
30,1,ウルトラムーン
30,3,울트라문
30,5,Ultra-Lune
30,6,Ultramond
30,7,Ultraluna
30,8,Ultraluna
30,9,Ultra Moon
31,9,"Let’s Go, Pikachu!"
32,9,"Let’s Go, Eevee!"
33,9,Sword
34,9,Shield
