id,identifier
1,hp-percent-max
2,is_ultra_beast
3,target-type-id
4,encounter-method
5,target-location
6,target-registered-in-dex
7,encounter-condition-value
8,turn-number
9,target-ailment-id
10,hp-value
11,friendship-value
12,pp-percent-max
13,party-fainted-count
14,hp-stat-ev
15,total-stat-ev
16,attack-stat-ev
17,defence-stat-ev
18,speed-stat-ev
19,special-attack-stat-ev
20,level
21,pp-up-use-count
22,move-id
23,special-defence-stat-ev
24,side_condition
25,attack-stat-stage
26,defence-stat-stage
27,speed-stat-stage
28,accuracy-stat-stage
29,special-attack-stat-stage
30,special-defence-stat-stage
31,escapeable-location
32,holder-species
33,nature-id
34,incoming-move-type
35,incoming-move-effectiveness
36,outgoing-move-type
37,target-battle-condition-id
38,incoming-move-damage-class
39,incoming-move-category
40,lowest-stat-stage
41,outgoing-move-damage-class
42,outgoing-move-flinch-chance
43,outgoing-move-ailment-id
44,outgoing-move-has-secondary-effect
45,has-raisable-stat
