region_id,local_language_id,name
1,1,カントー
1,3,관동
1,5,Kanto
1,6,Kanto
1,8,Kanto
1,9,Kanto
2,1,ジョウト
2,3,성도
2,5,Johto
2,6,Johto
2,8,Johto
2,9,Johto
3,1,ホウエン
3,3,호연
3,5,Hoenn
3,6,Hoenn
3,8,Hoenn
3,9,Hoenn
4,1,シンオウ
4,3,신오
4,5,Sinnoh
4,6,Sinnoh
4,8,Sinnoh
4,9,Sinnoh
5,1,イッシュ
5,3,하나
5,5,Unys
5,6,Einall
5,8,Unima
5,9,Unova
6,1,カロス
6,3,칼로스
6,5,Kalos
6,6,Kalos
6,8,Kalos
6,9,Kalos
7,1,アローラ
7,3,알로라
7,5,Alola
7,6,Alola
7,8,Alola
7,9,Alola
8,1,ガラル
8,3,가라르
8,5,Galar
8,6,Galar
8,8,Galar
8,9,Galar
9,1,ヒスイ
9,3,히스이
9,5,Hisui
9,6,Hisui
9,8,Hisui
9,9,Hisui
10,1,パルデア
10,3,팔데아
10,5,Paldea
10,6,Paldea
10,8,Paldea
10,9,Paldea
