location_id,local_language_id,name
1,5,Joliberges
1,9,Canalave City
2,5,Vestigion
2,9,Eterna City
3,5,Verchamps
3,9,Pastoria City
4,5,Rivamar
4,9,Sunyshore City
5,5,Ligue Pokémon
5,9,Pokémon League
6,5,Mine Charbourg
6,9,Oreburgh Mine
7,5,Les Eoliennes
7,9,Valley Windworks
8,5,Forêt Vestigion
8,9,Eterna Forest
9,5,Forge Fuego
9,9,Fuego Ironworks
10,5,Mont Couronné
10,9,Mt. Coronet
11,5,Grand Marais
11,9,Great Marsh
12,5,Ruines Bonville
12,9,Solaceon Ruins
13,5,Route Victoire
13,9,Victory Road
14,5,Chemin Rocheux
14,9,Ravaged Path
15,5,Entrée Charbourg
15,9,Oreburgh Gate
16,5,Mont Abrupt
16,9,Stark Mountain
17,5,Chemin Source
17,9,Spring Path
18,5,Grotte Retour
18,9,Turnback Cave
19,5,Temple Frimapic
19,9,Snowpoint Temple
20,5,Grotte Revèche
20,9,Wayward Cave
22,5,Grotte Ruinem.
22,9,Ruin Maniac Cave
23,5,Jardin Trophée
23,9,Trophy Garden
24,5,Ile de Fer
24,9,Iron Island
25,5,Vieux Château
25,9,Old Chateau
26,5,Lac Vérité
26,9,Lake Verity
27,5,Lac Courage
27,9,Lake Valor
28,5,Lac Savoir
28,9,Lake Acuity
29,5,Rive Lac Courage
29,9,Valor Lakefront
30,5,Rive Lac Savoir
30,9,Acuity Lakefront
31,5,Route 201
31,9,Route 201
32,5,Route 202
32,9,Route 202
33,5,Route 203
33,9,Route 203
34,5,Route 204
34,9,Route 204
35,5,Route 205
35,9,Route 205
36,5,Route 206
36,9,Route 206
37,5,Route 207
37,9,Route 207
38,5,Route 208
38,9,Route 208
39,5,Route 209
39,9,Route 209
40,5,Tour Perdue
40,9,Lost Tower
41,5,Route 210
41,9,Route 210
42,5,Route 211
42,9,Route 211
43,5,Route 212
43,9,Route 212
44,5,Route 213
44,9,Route 213
45,5,Route 214
45,9,Route 214
46,5,Route 215
46,9,Route 215
47,5,Route 216
47,9,Route 216
48,5,Route 217
48,9,Route 217
49,5,Route 218
49,9,Route 218
50,5,Route 219
50,9,Route 219
51,5,Route 221
51,9,Route 221
52,5,Route 222
52,9,Route 222
53,5,Route 224
53,9,Route 224
54,5,Route 225
54,9,Route 225
55,5,Route 227
55,9,Route 227
56,5,Route 228
56,9,Route 228
57,5,Route 229
