pokemon_id,version_id,item_id,rarity
12,7,199,5
12,8,199,5
12,9,199,5
12,10,199,5
12,11,199,5
12,12,199,5
12,13,199,5
12,14,199,5
12,15,199,5
12,16,199,5
12,17,199,5
12,18,199,5
12,21,199,5
12,22,199,5
12,23,199,5
12,24,199,5
12,25,199,5
12,26,199,5
12,27,199,5
12,28,199,5
12,29,199,5
12,30,199,5
15,7,222,5
15,8,222,5
15,9,222,5
15,10,222,5
15,11,222,5
15,12,222,5
15,13,222,5
15,14,222,5
15,15,222,5
15,16,222,5
15,17,222,5
15,18,222,5
15,21,222,5
15,22,222,5
15,23,222,5
15,24,222,5
15,25,222,5
15,26,222,5
15,27,222,5
15,28,222,5
15,29,222,5
15,30,222,5
19,12,177,5
19,13,177,5
19,14,177,5
19,15,177,5
19,16,177,5
19,17,177,5
19,18,177,5
20,10,132,50
20,10,135,5
20,11,132,50
20,11,135,5
20,12,177,5
20,13,177,5
20,14,177,5
20,15,177,5
20,16,177,5
20,17,177,5
20,18,177,5
21,27,221,5
21,28,221,5
21,29,221,5
21,30,221,5
22,7,221,5
22,8,221,5
22,9,221,5
22,10,221,5
22,11,221,5
22,12,221,5
22,13,221,5
22,14,221,5
22,15,221,5
22,16,221,5
22,17,221,5
22,18,221,5
22,21,221,5
22,22,221,5
22,23,221,5
22,24,221,5
22,25,221,5
22,26,221,5
22,27,221,5
22,28,221,5
22,29,221,5
22,30,221,5
24,10,222,5
24,11,222,5
25,7,132,50
25,7,213,5
25,8,132,50
25,8,213,5
25,9,132,50
25,9,213,5
25,12,132,50
25,12,213,5
25,13,132,50
25,13,213,5
25,14,132,50
25,14,213,5
25,15,132,50
25,15,213,5
25,16,132,50
25,16,213,5
25,17,132,50
25,17,213,1
25,18,132,50
25,18,213,1
25,21,213,5
25,22,213,5
25,23,213,5
25,24,213,5
25,25,213,5
25,26,213,5
25,27,213,5
25,28,213,5
25,29,213,5
25,30,213,5
26,7,132,5
26,8,132,5
26,9,132,5
26,12,132,5
26,13,132,5
26,14,132,5
26,15,132,5
26,16,132,5
26,17,132,50
26,18,132,50
27,7,194,5
27,8,194,5
27,9,194,5
27,12,194,5
27,13,194,5
27,14,194,5
27,15,194,5
27,16,194,5
27,17,194,5
27,18,194,5
27,21,194,5
27,22,194,5
27,23,194,5
27,24,194,5
27,25,263,5
27,26,263,5
27,27,263,5
27,28,263,5
27,29,263,5
27,30,263,5
28,7,194,5
28,8,194,5
28,9,194,5
28,10,214,5
28,11,214,5
28,12,194,5
28,13,194,5
28,14,194,5
28,15,194,5
28,16,194,5
28,17,194,5
28,18,194,5
28,21,194,5
28,22,194,5
28,23,194,5
28,24,194,5
28,25,263,5
28,26,263,5
28,27,263,5
28,28,263,5
28,29,263,5
28,30,263,5
35,7,81,5
35,7,131,50
35,8,81,5
35,8,131,50
35,9,81,5
35,9,131,50
35,10,81,5
35,11,81,5
35,12,81,5
35,12,131,50
35,13,81,5
35,13,131,50
35,14,81,5
35,14,131,50
35,15,81,5
35,15,131,50
35,16,81,5
35,16,131,50
35,17,81,5
35,17,131,50
35,17,624,1
35,18,81,5
35,18,131,50
35,18,624,1
35,21,81,5
35,21,131,50
35,21,624,1
35,22,81,5
35,22,131,50
35,22,624,1
35,23,81,5
35,24,81,5
35,25,81,5
35,26,81,5
35,27,81,5
35,28,81,5
35,29,81,5
35,30,81,5
36,7,81,5
36,7,131,50
36,8,81,5
36,8,131,50
36,9,81,5
36,9,131,50
36,10,81,5
36,11,81,5
36,12,81,5
36,12,131,50
36,13,81,5
36,13,131,50
36,14,81,5
36,14,131,50
36,15,81,5
36,15,131,50
36,16,81,5
36,16,131,50
36,17,81,5
36,17,131,50
36,17,624,1
36,18,81,5
36,18,131,50
36,18,624,1
36,21,81,5
36,21,131,50
36,21,624,1
36,22,81,5
36,22,131,50
36,22,624,1
36,23,81,5
36,24,81,5
36,25,81,5
36,26,81,5
36,27,81,5
36,28,81,5
36,29,81,5
36,30,81,5
37,7,129,100
37,8,129,100
37,9,129,100
37,10,129,50
37,11,129,50
37,12,129,100
37,13,129,100
37,14,129,100
37,15,129,100
37,16,129,100
37,17,129,100
37,18,129,100
37,21,129,100
37,22,129,100
37,25,226,5
37,26,226,5
37,27,226,5
37,28,226,5
37,29,226,5
37,30,226,5
38,7,129,100
38,8,129,100
38,9,129,100
38,10,129,50
38,11,129,50
38,12,129,100
38,13,129,100
38,14,129,100
38,15,129,100
38,16,129,100
38,17,129,100
38,18,129,100
38,21,129,100
38,22,129,100
38,25,226,5
38,26,226,5
38,27,226,5
38,28,226,5
38,29,226,5
38,30,226,5
39,10,132,50
39,11,132,50
39,27,81,5
39,28,81,5
39,29,81,5
39,30,81,5
40,10,132,50
40,11,132,50
40,27,81,5
40,28,81,5
40,29,81,5
40,30,81,5
43,25,588,5
43,26,588,5
43,27,588,5
43,28,588,5
43,29,588,5
43,30,588,5
44,25,588,5
44,26,588,5
44,27,588,5
44,28,588,5
44,29,588,5
44,30,588,5
45,25,588,5
45,26,588,5
45,27,588,5
45,28,588,5
45,29,588,5
45,30,588,5
46,7,86,50
46,7,87,5
46,8,86,50
46,8,87,5
46,9,86,50
46,9,87,5
46,10,86,50
46,10,87,5
46,11,86,50
46,11,87,5
46,12,86,50
46,12,87,5
46,13,86,50
46,13,87,5
46,14,86,50
46,14,87,5
46,15,86,50
46,15,87,5
46,16,86,50
46,16,87,5
46,17,86,50
46,17,87,5
46,17,621,1
46,18,86,50
46,18,87,5
46,18,621,1
46,21,86,50
46,21,87,5
46,21,621,1
46,22,86,50
46,22,87,5
46,22,621,1
46,23,86,50
46,23,87,5
46,24,86,50
46,24,87,5
46,25,86,50
46,25,87,5
46,26,86,50
46,26,87,5
46,27,86,50
46,27,87,5
46,28,86,50
46,28,87,5
46,29,86,50
46,29,87,5
46,30,86,50
46,30,87,5
47,7,86,50
47,7,87,5
47,8,86,50
47,8,87,5
47,9,86,50
47,9,87,5
47,10,86,50
47,10,87,5
47,11,86,50
47,11,87,5
47,12,86,50
47,12,87,5
47,13,86,50
47,13,87,5
47,14,86,50
47,14,87,5
47,15,86,50
47,15,87,5
47,16,86,50
47,16,87,5
47,17,86,50
47,17,87,5
47,17,621,1
47,18,86,50
47,18,87,5
47,18,621,1
47,21,86,50
47,21,87,5
47,21,621,1
47,22,86,50
47,22,87,5
47,22,621,1
47,23,86,50
47,23,87,5
47,24,86,50
47,24,87,5
47,25,86,50
47,25,87,5
47,26,86,50
47,26,87,5
47,27,86,50
47,27,87,5
47,28,86,50
47,28,87,5
47,29,86,50
47,29,87,5
47,30,86,50
47,30,87,5
49,10,199,5
49,11,199,5
49,12,272,5
49,13,272,5
49,14,272,5
49,15,272,5
49,16,272,5
49,17,272,5
49,18,272,5
49,21,272,5
49,22,272,5
49,23,272,5
49,24,272,5
49,25,272,5
49,26,272,5
49,27,272,5
49,28,272,5
49,29,272,5
49,30,272,5
50,12,214,5
50,13,214,5
50,14,214,5
50,15,214,5
50,16,214,5
50,17,214,5
50,18,214,5
50,21,214,5
50,22,214,5
50,23,214,5
50,24,214,5
50,25,214,5
50,26,214,5
50,27,214,5
50,28,214,5
50,29,214,5
50,30,214,5
51,12,214,5
51,13,214,5
51,14,214,5
51,15,214,5
51,16,214,5
51,17,214,5
51,18,214,5
51,21,214,5
51,22,214,5
51,23,214,5
51,24,214,5
51,25,214,5
51,26,214,5
51,27,214,5
51,28,214,5
51,29,214,5
51,30,214,5
52,10,92,5
52,11,92,5
52,12,194,5
52,13,194,5
52,14,194,5
52,15,194,5
52,16,194,5
52,17,194,5
52,18,194,5
52,21,194,5
52,22,194,5
52,23,194,5
52,24,194,5
52,25,194,5
52,26,194,5
52,27,194,5
52,28,194,5
52,29,194,5
52,30,194,5
53,12,194,5
53,13,194,5
53,14,194,5
53,15,194,5
53,16,194,5
53,17,194,5
53,18,194,5
53,21,194,5
53,22,194,5
53,23,194,5
