encounter_id,encounter_condition_value_id
125,2
126,1
127,2
128,1
131,7
132,6
133,7
134,6
137,8
138,9
139,10
140,11
141,12
142,13
143,8
144,9
145,10
146,11
147,12
148,13
149,7
150,6
151,7
152,6
173,2
174,1
175,2
176,1
177,3
178,4
179,5
180,3
181,4
182,5
183,7
184,6
185,7
186,6
189,8
190,9
191,10
192,11
193,12
194,13
195,8
196,9
197,10
198,11
199,12
200,13
201,7
202,6
203,7
204,6
205,2
206,1
207,2
208,1
211,7
212,6
213,7
214,6
219,7
220,6
221,7
222,6
245,3
246,4
247,5
248,3
249,4
250,5
287,8
288,9
289,10
290,11
291,12
292,13
293,8
294,9
295,10
296,11
297,12
298,13
309,8
310,9
311,10
312,11
313,12
314,13
315,8
316,9
317,10
318,11
319,12
320,13
325,3
326,4
327,5
328,3
329,4
330,5
331,7
332,6
333,7
334,6
337,8
338,9
339,10
340,11
341,12
342,13
343,8
344,9
345,10
346,11
347,12
348,13
349,7
350,6
351,7
352,6
355,3
356,4
357,5
358,3
359,4
360,5
361,7
362,6
363,7
364,6
367,8
368,9
369,10
370,11
371,12
372,13
373,8
374,9
375,10
376,11
377,12
378,13
379,7
380,6
381,7
382,6
391,8
392,9
393,10
394,11
395,12
396,13
397,8
398,9
399,10
400,11
401,12
402,13
433,8
434,9
435,10
436,11
437,12
438,13
439,8
440,9
441,10
442,11
443,12
444,13
455,8
456,9
457,10
458,11
459,12
460,13
461,8
462,9
463,10
464,11
465,12
466,13
477,8
478,9
479,10
480,11
481,12
482,13
483,8
484,9
485,10
486,11
487,12
488,13
499,8
500,9
501,10
502,11
503,12
504,13
505,8
506,9
507,10
508,11
509,12
510,13
527,3
528,4
529,5
530,3
531,4
532,5
537,8
538,9
539,10
540,11
541,12
542,13
580,3
581,4
582,5
583,3
584,4
585,5
590,8
591,9
592,10
593,11
594,12
595,13
596,8
597,9
598,10
599,11
600,12
601,13
626,3
627,4
628,5
629,3
630,4
631,5
636,8
637,9
638,10
639,11
640,12
641,13
642,8
643,9
644,10
645,11
646,12
647,13
672,3
673,4
674,5
675,3
676,4
677,5
682,8
683,9
684,10
685,11
686,12
687,13
688,8
689,9
690,10
691,11
692,12
693,13
718,3
719,4
720,5
721,3
722,4
723,5
728,8
729,9
730,10
731,11
732,12
733,13
734,8
735,9
736,10
737,11
738,12
739,13
764,3
765,4
766,5
767,3
768,4
769,5
774,8
775,9
776,10
777,11
778,12
779,13
780,8
781,9
782,10
783,11
784,12
785,13
790,3
791,4
792,5
793,3
794,4
795,5
800,8
801,9
802,10
803,11
804,12
805,13
806,8
807,9
808,10
809,11
810,12
811,13
1240,3
1241,4
1242,5
1243,3
1244,4
1245,5
1246,7
1247,6
1248,7
1249,6
1252,8
1253,9
1254,10
1255,11
1256,12
1257,13
1258,8
1259,9
1260,10
1261,11
1262,12
1263,13
1264,7
1265,6
1266,7
1267,6
1276,8
1277,9
1278,10
1279,11
1280,12
1281,13
1282,8
1283,9
1284,10
1285,11
1286,12
1287,13
1298,8
1299,9
1300,10
1301,11
1302,12
1303,13
1304,8
1305,9
1306,10
1307,11
1308,12
1309,13
1314,3
1315,4
1316,5
1317,3
1318,4
1319,5
1324,8
1325,9
1326,10
1327,11
1328,12
1329,13
1330,8
1331,9
1332,10
1333,11
1334,12
1335,13
1366,8
1367,9
1368,10
1369,11
1370,12
1371,13
1372,8
1373,9
1374,10
1375,11
1376,12
1377,13
1388,8
1389,9
1390,10
1391,11
1392,12
1393,13
1394,8
1395,9
1396,10
1397,11
1398,12
1399,13
1410,8
1411,9
1412,10
1413,11
1414,12
1415,13
1416,8
1417,9
1418,10
1419,11
1420,12
1421,13
1432,8
1433,9
1434,10
1435,11
1436,12
1437,13
1438,8
1439,9
1440,10
1441,11
1442,12
1443,13
1564,8
1565,9
1566,10
1567,11
1568,12
1569,13
1570,8
1571,9
1572,10
1573,11
1574,12
1575,13
1696,8
1697,9
1698,10
1699,11
1700,12
1701,13
1702,8
1703,9
1704,10
1705,11
1706,12
1707,13
1828,8
1829,9
1830,10
1831,11
1832,12
1833,13
1834,8
1835,9
1836,10
1837,11
1838,12
1839,13
2450,8
2451,9
2452,10
2453,11
2454,12
2455,13
2456,8
2457,9
2458,10
2459,11
2460,12
2461,13
2472,8
2473,9
2474,10
2475,11
2476,12
2477,13
2478,8
2479,9
2480,10
2481,11
2482,12
2483,13
2524,3
2525,4
2526,5
2527,3
2528,4
2529,5
2578,8
2579,9
2580,10
2581,11
2582,12
2583,13
2584,8
2585,9
2586,10
2587,11
2588,12
2589,13
2600,8
2601,9
2602,10
2603,11
2604,12
2605,13
2606,8
2607,9
2608,10
2609,11
2610,12
2611,13
2622,8
2623,9
2624,10
2625,11
2626,12
2627,13
2628,8
2629,9
2630,10
2631,11
2632,12
2633,13
2644,8
2645,9
2646,10
2647,11
2648,12
2649,13
2650,8
2651,9
2652,10
2653,11
2654,12
2655,13
2666,8
2667,9
2668,10
2669,11
2670,12
2671,13
2672,8
2673,9
2674,10
2675,11
2676,12
2677,13
2688,8
2689,9
2690,10
2691,11
2692,12
2693,13
2694,8
2695,9
2696,10
2697,11
2698,12
2699,13
2710,8
2711,9
2712,10
2713,11
2714,12
2715,13
2716,8
2717,9
2718,10
2719,11
2720,12
2721,13
2732,8
2733,9
2734,10
2735,11
2736,12
2737,13
2738,8
2739,9
2740,10
2741,11
2742,12
2743,13
2754,8
2755,9
2756,10
2757,11
2758,12
2759,13
2760,8
2761,9
2762,10
2763,11
2764,12
2765,13
2776,8
2777,9
2778,10
2779,11
2780,12
2781,13
2782,8
2783,9
2784,10
2785,11
2786,12
2787,13
2798,8
2799,9
2800,10
2801,11
2802,12
2803,13
2804,8
2805,9
2806,10
2807,11
2808,12
2809,13
2820,8
2821,9
2822,10
2823,11
2824,12
2825,13
2826,8
2827,9
2828,10
2829,11
2830,12
2831,13
2842,8
2843,9
2844,10
2845,11
2846,12
2847,13
2848,8
2849,9
2850,10
2851,11
2852,12
2853,13
2864,8
2865,9
2866,10
2867,11
2868,12
2869,13
2870,8
2871,9
2872,10
2873,11
2874,12
2875,13
2878,2
2879,1
2880,2
2881,1
2882,3
2883,4
2884,5
2886,7
2887,6
2888,7
2889,6
2892,8
2893,9
2894,10
2895,11
2896,12
2897,13
2898,8
2899,9
2900,10
2901,11
2902,12
2903,13
2904,7
2905,6
2906,7
2907,6
2928,2
2929,1
2930,2
2931,1
2932,3
2933,4
2934,5
2936,7
2937,6
2938,7
2939,6
2942,8
2943,9
2944,10
2945,11
2946,12
2947,13
2948,8
2949,9
2950,10
2951,11
2952,12
2953,13
2954,7
2955,6
2956,7
2957,6
