type_id,local_language_id,name
1,1,ノーマル
1,3,노말
1,4,一般
1,5,Normal
1,6,Normal
1,7,Normal
1,8,Normale
1,9,Normal
1,11,ノーマル
1,12,一般
2,1,かくとう
2,3,격투
2,4,格鬥
2,5,Combat
2,6,Kampf
2,7,Lucha
2,8,Lotta
2,9,Fighting
2,11,かくとう
2,12,格斗
3,1,ひこう
3,3,비행
3,4,飛行
3,5,Vol
3,6,Flug
3,7,Volador
3,8,Volante
3,9,Flying
3,11,ひこう
3,12,飞行
4,1,どく
4,3,독
4,4,毒
4,5,Poison
4,6,Gift
4,7,Veneno
4,8,Veleno
4,9,Poison
4,11,どく
4,12,毒
5,1,じめん
5,3,땅
5,4,地面
5,5,Sol
5,6,Boden
5,7,Tierra
5,8,Terra
5,9,Ground
5,11,じめん
5,12,地面
6,1,いわ
6,3,바위
6,4,岩石
6,5,Roche
6,6,Gestein
6,7,Roca
6,8,Roccia
6,9,Rock
6,11,いわ
6,12,岩石
7,1,むし
7,3,벌레
7,4,蟲
7,5,Insecte
7,6,Käfer
7,7,Bicho
7,8,Coleottero
7,9,Bug
7,11,むし
7,12,虫
8,1,ゴースト
8,3,고스트
8,4,幽靈
8,5,Spectre
8,6,Geist
8,7,Fantasma
8,8,Spettro
8,9,Ghost
8,11,ゴースト
8,12,幽灵
9,1,はがね
9,3,강철
9,4,鋼
9,5,Acier
9,6,Stahl
9,7,Acero
9,8,Acciaio
9,9,Steel
9,11,はがね
9,12,钢
10,1,ほのお
10,3,불꽃
10,4,火
10,5,Feu
10,6,Feuer
10,7,Fuego
10,8,Fuoco
10,9,Fire
10,11,ほのお
10,12,火
11,1,みず
11,3,물
11,4,水
11,5,Eau
11,6,Wasser
11,7,Agua
11,8,Acqua
11,9,Water
11,11,みず
11,12,水
12,1,くさ
12,3,풀
12,4,草
12,5,Plante
12,6,Pflanze
12,7,Planta
12,8,Erba
12,9,Grass
12,11,くさ
12,12,草
13,1,でんき
13,3,전기
13,4,電
13,5,Électrik
13,6,Elektro
13,7,Eléctrico
13,8,Elettro
13,9,Electric
13,11,でんき
13,12,电
14,1,エスパー
14,3,에스퍼
14,4,超能力
14,5,Psy
14,6,Psycho
14,7,Psíquico
14,8,Psico
14,9,Psychic
14,11,エスパー
14,12,超能力
15,1,こおり
15,3,얼음
15,4,冰
15,5,Glace
15,6,Eis
15,7,Hielo
15,8,Ghiaccio
15,9,Ice
15,11,こおり
15,12,冰
16,1,ドラゴン
16,3,드래곤
16,4,龍
16,5,Dragon
16,6,Drache
16,7,Dragón
16,8,Drago
16,9,Dragon
16,11,ドラゴン
16,12,龙
17,1,あく
17,3,악
17,4,惡
17,5,Ténèbres
17,6,Unlicht
17,7,Siniestro
17,8,Buio
17,9,Dark
17,11,あく
17,12,恶
18,1,フェアリー
18,3,페어리
18,4,妖精
18,5,Fée
18,6,Fee
18,7,Hada
18,8,Folletto
18,9,Fairy
18,11,フェアリー
18,12,妖精
10001,1,？？？
10001,3,???
10001,5,???
10001,6,???
10001,7,???
10001,8,???
10001,9,???
10002,1,ダーク
10002,3,다크
10002,5,Obscur
10002,6,Crypto
10002,8,Ombra
10002,9,Shadow
