item_id,version_group_id,language_id,flavor_text
1,5,9,"The best BALL that
catches a POKéMON
without fail."
1,6,9,"The best BALL that
catches a POKéMON
without fail."
1,7,9,"The best BALL with the ultimate
performance. It will catch any wild
POKéMON without fail."
1,8,9,"The best Ball with the ultimate level of
performance. It will catch any wild
Pokémon without fail."
1,9,9,"The best Ball with the ultimate level of
performance. It will catch any wild
Pokémon without fail."
1,10,9,"The best Ball with the ultimate level of
performance. It will catch any wild
Pokémon without fail."
1,11,5,"Assurément la Ball la plus performante.
Elle permet de capturer à coup sûr un
Pokémon sauvage."
1,11,9,"The best Ball with the ultimate level of
performance. It will catch any wild
Pokémon without fail."
1,14,9,"The best Ball with the ultimate level of
performance. It will catch any wild
Pokémon without fail."
1,15,1,"やせいの　ポケモンを　かならず
つかまえることが　できる
さいこう　せいのうの　ボール。"
1,15,3,"야생 포켓몬을 반드시
잡을 수 있는
최고 성능의 볼."
1,15,5,"Assurément la Ball la plus performante.
Elle permet de capturer à coup sûr un Pokémon
sauvage."
1,15,6,"Der beste Ball! Damit fängst du garantiert jedes
wilde Pokémon."
1,15,7,"La Poké Ball definitiva. Atrapa cualquier Pokémon
salvaje y no falla nunca."
1,15,8,"La Poké Ball dalle prestazioni migliori:
cattura qualsiasi Pokémon selvatico senza
mai fallire."
1,15,9,"The best Poké Ball with the ultimate
level of performance. With it, you will
catch any wild Pokémon without fail."
1,15,11,"野生の　ポケモンを　必ず
捕まえることが　できる
最高　性能の　ボール。"
1,15,14,"La Poké Ball definitiva. Atrapa cualquier Pokémon
salvaje y no falla nunca."
1,17,1,"やせいの　ポケモンを　かならず
つかまえることが　できる
さいこう　せいのうの　ボール。"
1,17,3,"야생 포켓몬을 반드시
잡을 수 있는
최고 성능의 볼."
1,17,4,"性能最好的球。
必定能捉到野生寶可夢。"
1,17,5,"Assurément la Ball la plus performante.
Elle permet de capturer à coup sûr un Pokémon
sauvage."
1,17,6,"Der beste Ball! Damit fängst du garantiert jedes
wilde Pokémon."
1,17,7,"La Poké Ball definitiva. Atrapa cualquier Pokémon
salvaje y no falla nunca."
1,17,8,"La Poké Ball dalle prestazioni migliori: cattura
qualsiasi Pokémon selvatico senza mai fallire."
1,17,9,"The best Poké Ball with the ultimate level of
performance. With it, you will catch any wild
Pokémon without fail."
1,17,11,"野生の　ポケモンを　必ず
捕まえることが　できる
最高　性能の　ボール。"
1,17,12,"必定能捉到野生宝可梦的，
性能最好的球。"
1,17,14,"La Poké Ball definitiva. Atrapa cualquier Pokémon
salvaje y no falla nunca."
1,18,1,"やせいの　ポケモンを　かならず
つかまえることが　できる
さいこう　せいのうの　ボール。"
1,18,3,"야생 포켓몬을 반드시
잡을 수 있는
최고 성능의 볼."
1,18,4,"性能最好的球。
必定能捉到野生寶可夢。"
1,18,5,"Assurément la Ball la plus performante.
Elle permet de capturer à coup sûr un Pokémon
sauvage."
1,18,6,"Der beste Ball! Damit fängst du garantiert jedes
wilde Pokémon."
1,18,7,"La Poké Ball definitiva. Atrapa cualquier Pokémon
salvaje y no falla nunca."
1,18,8,"La Poké Ball dalle prestazioni migliori: cattura
qualsiasi Pokémon selvatico senza mai fallire."
1,18,9,"The best Poké Ball with the ultimate level of
performance. With it, you will catch any wild
Pokémon without fail."
1,18,11,"野生の　ポケモンを　必ず
捕まえることが　できる
最高　性能の　ボール。"
1,18,12,"必定能捉到野生宝可梦的，
性能最好的球。"
1,18,14,"La Poké Ball definitiva. Atrapa cualquier Pokémon
salvaje y no falla nunca."
1,19,1,"やせいの　ポケモンを　かならず
つかまえることが　できる
さいこう　せいのうの　ボール。"
1,19,3,"야생 포켓몬을 반드시
잡을 수 있는
최고 성능의 볼."
1,19,4,"性能最好的球。
必定能捉到野生寶可夢。"
1,19,5,"Assurément la Ball la plus performante.
Elle permet de capturer à coup sûr un Pokémon
sauvage."
