move_id,meta_category_id,meta_ailment_id,min_hits,max_hits,min_turns,max_turns,drain,healing,crit_rate,ailment_chance,flinch_chance,stat_chance
1,0,0,,,,,0,0,0,0,0,0
2,0,0,,,,,0,0,1,0,0,0
3,0,0,2,5,,,0,0,0,0,0,0
4,0,0,2,5,,,0,0,0,0,0,0
5,0,0,,,,,0,0,0,0,0,0
6,0,0,,,,,0,0,0,0,0,0
7,4,4,,,,,0,0,0,10,0,0
8,4,3,,,,,0,0,0,10,0,0
9,4,1,,,,,0,0,0,10,0,0
10,0,0,,,,,0,0,0,0,0,0
11,0,0,,,,,0,0,0,0,0,0
12,9,0,,,,,0,0,0,0,0,0
13,0,0,,,,,0,0,1,0,0,0
14,2,0,,,,,0,0,0,0,0,0
15,0,0,,,,,0,0,0,0,0,0
16,0,0,,,,,0,0,0,0,0,0
17,0,0,,,,,0,0,0,0,0,0
18,12,0,,,,,0,0,0,0,0,0
19,0,0,,,,,0,0,0,0,0,0
20,4,8,,,5,6,0,0,0,100,0,0
21,0,0,,,,,0,0,0,0,0,0
22,0,0,,,,,0,0,0,0,0,0
23,0,0,,,,,0,0,0,0,30,0
24,0,0,2,2,,,0,0,0,0,0,0
25,0,0,,,,,0,0,0,0,0,0
26,0,0,,,,,0,0,0,0,0,0
27,0,0,,,,,0,0,0,0,30,0
28,2,0,,,,,0,0,0,0,0,0
29,0,0,,,,,0,0,0,0,30,0
30,0,0,,,,,0,0,0,0,0,0
31,0,0,2,5,,,0,0,0,0,0,0
32,9,0,,,,,0,0,0,0,0,0
33,0,0,,,,,0,0,0,0,0,0
34,4,1,,,,,0,0,0,30,0,0
35,4,8,,,5,6,0,0,0,100,0,0
36,0,0,,,,,-25,0,0,0,0,0
37,0,0,,,,,0,0,0,0,0,0
38,0,0,,,,,-33,0,0,0,0,0
39,2,0,,,,,0,0,0,0,0,0
40,4,5,,,,,0,0,0,30,0,0
41,4,5,2,2,,,0,0,0,20,0,0
42,0,0,2,5,,,0,0,0,0,0,0
43,2,0,,,,,0,0,0,0,0,100
44,0,0,,,,,0,0,0,0,30,0
45,2,0,,,,,0,0,0,0,0,0
46,12,0,,,,,0,0,0,0,0,0
47,1,2,,,2,4,0,0,0,0,0,0
48,1,6,,,2,5,0,0,0,0,0,0
49,0,0,,,,,0,0,0,0,0,0
50,13,13,,,4,4,0,0,0,0,0,0
51,6,0,,,,,0,0,0,0,0,10
52,4,4,,,,,0,0,0,10,0,0
53,4,4,,,,,0,0,0,10,0,0
54,11,0,,,,,0,0,0,0,0,0
55,0,0,,,,,0,0,0,0,0,0
56,0,0,,,,,0,0,0,0,0,0
57,0,0,,,,,0,0,0,0,0,0
58,4,3,,,,,0,0,0,10,0,0
59,4,3,,,,,0,0,0,10,0,0
60,4,6,,,2,5,0,0,0,10,0,0
61,6,0,,,,,0,0,0,0,0,10
62,6,0,,,,,0,0,0,0,0,10
63,0,0,,,,,0,0,0,0,0,0
64,0,0,,,,,0,0,0,0,0,0
65,0,0,,,,,0,0,0,0,0,0
66,0,0,,,,,-25,0,0,0,0,0
67,0,0,,,,,0,0,0,0,0,0
68,0,0,,,,,0,0,0,0,0,0
69,0,0,,,,,0,0,0,0,0,0
70,0,0,,,,,0,0,0,0,0,0
71,8,0,,,,,50,0,0,0,0,0
72,8,0,,,,,50,0,0,0,0,0
73,1,18,,,,,0,0,0,0,0,0
74,2,0,,,,,0,0,0,0,0,0
75,0,0,,,,,0,0,1,0,0,0
76,0,0,,,,,0,0,0,0,0,0
77,1,5,,,,,0,0,0,0,0,0
78,1,1,,,,,0,0,0,0,0,0
79,1,2,,,2,4,0,0,0,0,0,0
80,0,0,,,,,0,0,0,0,0,0
81,2,0,,,,,0,0,0,0,0,0
82,0,0,,,,,0,0,0,0,0,0
83,4,8,,,5,6,0,0,0,100,0,0
84,4,1,,,,,0,0,0,10,0,0
85,4,1,,,,,0,0,0,10,0,0
86,1,1,,,,,0,0,0,0,0,0
87,4,1,,,,,0,0,0,30,0,0
88,0,0,,,,,0,0,0,0,0,0
89,0,0,,,,,0,0,0,0,0,0
90,9,0,,,,,0,0,0,0,0,0
91,0,0,,,,,0,0,0,0,0,0
92,1,5,,,15,15,0,0,0,0,0,0
93,4,6,,,2,5,0,0,0,10,0,0
94,6,0,,,,,0,0,0,0,0,10
95,1,2,,,2,4,0,0,0,0,0,0
96,2,0,,,,,0,0,0,0,0,0
97,2,0,,,,,0,0,0,0,0,0
98,0,0,,,,,0,0,0,0,0,0
99,0,0,,,,,0,0,0,0,0,0
100,13,0,,,,,0,0,0,0,0,0
101,0,0,,,,,0,0,0,0,0,0
102,13,0,,,,,0,0,0,0,0,0
103,2,0,,,,,0,0,0,0,0,0
104,2,0,,,,,0,0,0,0,0,0
105,3,0,,,,,0,50,0,0,0,0
106,2,0,,,,,0,0,0,0,0,0
107,2,0,,,,,0,0,0,0,0,0
108,2,0,,,,,0,0,0,0,0,0
109,1,6,,,2,5,0,0,0,0,0,0
110,2,0,,,,,0,0,0,0,0,0
111,2,0,,,,,0,0,0,0,0,0
112,2,0,,,,,0,0,0,0,0,0
113,11,0,,,,,0,0,0,0,0,0
114,10,0,,,,,0,0,0,0,0,0
115,11,0,,,,,0,0,0,0,0,0
116,13,0,,,,,0,0,0,0,0,0
117,0,0,,,,,0,0,0,0,0,0
118,13,0,,,,,0,0,0,0,0,0
119,13,0,,,,,0,0,0,0,0,0
120,0,0,,,,,0,0,0,0,0,0
121,0,0,,,,,0,0,0,0,0,0
122,4,1,,,,,0,0,0,30,0,0
123,4,5,,,,,0,0,0,40,0,0
124,4,5,,,,,0,0,0,30,0,0
125,0,0,,,,,0,0,0,0,10,0
126,4,4,,,,,0,0,0,10,0,0
127,0,0,,,,,0,0,0,0,20,0
128,4,8,,,5,6,0,0,0,100,0,0
129,0,0,,,,,0,0,0,0,0,0
130,0,0,,,,,0,0,0,100,0,0
131,0,0,2,5,,,0,0,0,0,0,0
132,6,0,,,,,0,0,0,0,0,10
133,2,0,,,,,0,0,0,0,0,0
134,2,0,,,,,0,0,0,0,0,0
135,3,0,,,,,0,50,0,0,0,0
136,0,0,,,,,0,0,0,0,0,0
137,1,1,,,,,0,0,0,0,0,0
138,8,0,,,,,50,0,0,0,0,0
139,1,5,,,,,0,0,0,0,0,0
140,0,0,2,5,,,0,0,0,0,0,0
141,8,0,,,,,50,0,0,0,0,0
142,1,2,,,2,4,0,0,0,0,0,0
143,0,0,,,,,0,0,1,0,30,0
144,13,0,,,,,0,0,0,0,0,0
145,6,0,,,,,0,0,0,0,0,10
146,4,6,,,2,5,0,0,0,20,0,0
147,1,2,,,2,4,0,0,0,0,0,0
148,2,0,,,,,0,0,0,0,0,0
149,0,0,,,,,0,0,0,0,0,0
150,13,0,,,,,0,0,0,0,0,0
151,2,0,,,,,0,0,0,0,0,0
152,0,0,,,,,0,0,1,0,0,0
153,0,0,,,,,0,0,0,0,0,0
154,0,0,2,5,,,0,0,0,0,0,0
155,0,0,2,2,,,0,0,0,0,0,0
156,13,0,,,,,0,0,0,0,0,0
157,0,0,,,,,0,0,0,0,30,0
158,0,0,,,,,0,0,0,0,10,0
159,2,0,,,,,0,0,0,0,0,0
160,13,0,,,,,0,0,0,0,0,0
161,4,-1,,,,,0,0,0,20,0,0
162,0,0,,,,,0,0,0,0,0,0
163,0,0,,,,,0,0,1,0,0,0
164,13,0,,,,,0,0,0,0,0,0
165,0,0,,,,,0,-25,0,0,0,0
166,13,0,,,,,0,0,0,0,0,0
167,0,0,3,3,,,0,0,0,0,0,0
168,0,0,,,,,0,0,0,0,0,0
169,13,0,,,,,0,0,0,0,0,0
170,13,0,,,,,0,0,0,0,0,0
171,1,9,,,,,0,0,0,0,0,0
172,4,4,,,,,0,0,0,10,0,0
173,0,0,,,,,0,0,0,0,30,0
174,13,0,,,,,0,0,0,0,0,0
175,0,0,,,,,0,0,0,0,0,0
176,13,0,,,,,0,0,0,0,0,0
177,0,0,,,,,0,0,1,0,0,0
178,2,0,,,,,0,0,0,0,0,0
179,0,0,,,,,0,0,0,0,0,0
180,13,0,,,,,0,0,0,0,0,0
181,4,3,,,,,0,0,0,10,0,0
182,13,0,,,,,0,0,0,0,0,0
183,0,0,,,,,0,0,0,0,0,0
184,2,0,,,,,0,0,0,0,0,0
185,0,0,,,,,0,0,0,0,0,0
186,1,6,,,2,5,0,0,0,0,0,0
187,13,0,,,,,0,0,0,0,0,0
188,4,5,,,,,0,0,0,30,0,0
189,6,0,,,,,0,0,0,0,0,100
190,6,0,,,,,0,0,0,0,0,50
191,11,0,,,,,0,0,0,0,0,0
192,4,1,,,,,0,0,0,100,0,0
193,1,17,,,,,0,0,0,0,0,0
194,13,0,,,,,0,0,0,0,0,0
195,1,20,,,4,4,0,0,0,0,0,0
196,6,0,,,,,0,0,0,0,0,100
197,13,0,,,,,0,0,0,0,0,0
198,0,0,2,5,,,0,0,0,0,0,0
199,13,0,,,,,0,0,0,0,0,0
200,0,0,,,,,0,0,0,0,0,0
201,10,0,,,,,0,0,0,0,0,0
202,8,0,,,,,50,0,0,0,0,0
203,13,0,,,,,0,0,0,0,0,0
204,2,0,,,,,0,0,0,0,0,0
205,0,0,,,,,0,0,0,0,0,0
206,0,0,,,,,0,0,0,0,0,0
207,5,6,,,2,5,0,0,0,0,0,0
208,3,0,,,,,0,50,0,0,0,0
209,4,1,,,,,0,0,0,30,0,0
210,0,0,,,,,0,0,0,0,0,0
211,7,0,,,,,0,0,0,0,0,10
212,13,0,,,,,0,0,0,0,0,0
213,1,7,,,,,0,0,0,0,0,0
214,13,0,,,,,0,0,0,0,0,0
215,13,0,,,,,0,0,0,0,0,0
216,0,0,,,,,0,0,0,0,0,0
217,0,0,,,,,0,0,0,0,0,0
218,0,0,,,,,0,0,0,0,0,0
219,11,0,,,,,0,0,0,0,0,0
220,13,0,,,,,0,0,0,0,0,0
221,4,4,,,,,0,0,0,50,0,0
222,0,0,,,,,0,0,0,0,0,0
223,4,6,,,2,5,0,0,0,100,0,0
224,0,0,,,,,0,0,0,0,0,0
225,4,1,,,,,0,0,0,30,0,0
226,13,0,,,,,0,0,0,0,0,0
227,13,0,,,,,0,0,0,0,0,0
228,0,0,,,,,0,0,0,0,0,0
229,7,0,,,,,0,0,0,0,0,100
230,2,0,,,,,0,0,0,0,0,0
231,6,0,,,,,0,0,0,0,0,30
232,7,0,,,,,0,0,0,0,0,10
233,0,0,,,,,0,0,0,0,0,0
234,3,0,,,,,0,50,0,0,0,0
235,3,0,,,,,0,50,0,0,0,0
236,3,0,,,,,0,50,0,0,0,0
237,0,0,,,,,0,0,0,0,0,0
238,0,0,,,,,0,0,1,0,0,0
239,0,0,,,,,0,0,0,0,20,0
240,10,0,,,,,0,0,0,0,0,0
241,10,0,,,,,0,0,0,0,0,0
242,6,0,,,,,0,0,0,0,0,20
243,0,0,,,,,0,0,0,0,0,0
244,13,0,,,,,0,0,0,0,0,0
245,0,0,,,,,0,0,0,0,0,0
246,7,0,,,,,0,0,0,0,0,10
247,6,0,,,,,0,0,0,0,0,20
248,13,0,,,,,0,0,0,0,0,0
249,6,0,,,,,0,0,0,0,0,50
250,4,8,,,5,6,0,0,0,100,0,0
251,0,0,6,6,,,0,0,0,0,0,0
252,0,0,,,,,0,0,0,0,100,0
253,0,0,,,,,0,0,0,0,0,0
254,13,0,,,,,0,0,0,0,0,0
255,0,0,,,,,0,0,0,0,0,0
256,3,0,,,,,0,25,0,0,0,0
257,4,4,,,,,0,0,0,10,0,0
258,10,0,,,,,0,0,0,0,0,0
259,1,12,,,,,0,0,0,0,0,0
260,5,6,,,2,5,0,0,0,0,0,0
261,1,4,,,,,0,0,0,0,0,0
262,13,0,,,,,0,0,0,0,0,0
263,0,0,,,,,0,0,0,0,0,0
264,0,0,,,,,0,0,0,0,0,0
265,0,0,,,,,0,0,0,0,0,0
266,13,0,,,,,0,0,0,0,0,0
267,13,0,,,,,0,0,0,0,0,0
268,2,0,,,,,0,0,0,0,0,0
269,13,0,,,,,0,0,0,0,0,0
270,13,0,,,,,0,0,0,0,0,0
271,13,0,,,,,0,0,0,0,0,0
272,13,0,,,,,0,0,0,0,0,0
273,13,0,,,,,0,0,0,0,0,0
274,13,0,,,,,0,0,0,0,0,0
275,1,21,,,,,0,0,0,0,0,0
276,7,0,,,,,0,0,0,0,0,100
277,13,0,,,,,0,0,0,0,0,0
278,13,0,,,,,0,0,0,0,0,0
279,0,0,,,,,0,0,0,0,0,0
280,0,0,,,,,0,0,0,0,0,0
281,1,14,,,2,2,0,0,0,0,0,0
282,0,0,,,,,0,0,0,0,0,0
283,0,0,,,,,0,0,0,0,0,0
284,0,0,,,,,0,0,0,0,0,0
285,13,0,,,,,0,0,0,0,0,0
286,13,0,,,,,0,0,0,0,0,0
287,13,0,,,,,0,0,0,0,0,0
288,13,0,,,,,0,0,0,0,0,0
289,13,0,,,,,0,0,0,0,0,0
290,0,0,,,,,0,0,0,30,0,0
291,0,0,,,,,0,0,0,0,0,0
292,0,0,2,5,,,0,0,0,0,0,0
293,13,0,,,,,0,0,0,0,0,0
294,2,0,,,,,0,0,0,0,0,0
295,6,0,,,,,0,0,0,0,0,50
296,6,0,,,,,0,0,0,0,0,50
297,2,0,,,,,0,0,0,0,0,0
298,1,6,,,2,5,0,0,0,0,0,0
299,4,4,,,,,0,0,1,10,0,0
300,10,0,,,,,0,0,0,0,0,0
301,0,0,,,,,0,0,0,0,0,0
302,0,0,,,,,0,0,0,0,30,0
303,3,0,,,,,0,50,0,0,0,0
304,0,0,,,,,0,0,0,0,0,0
305,4,5,,,15,15,0,0,0,50,0,0
306,6,0,,,,,0,0,0,0,0,50
307,0,0,,,,,0,0,0,0,0,0
308,0,0,,,,,0,0,0,0,0,0
309,7,0,,,,,0,0,0,0,0,20
310,0,0,,,,,0,0,0,0,30,0
311,0,0,,,,,0,0,0,0,0,0
312,13,0,,,,,0,0,0,0,0,0
313,2,0,,,,,0,0,0,0,0,0
314,0,0,,,,,0,0,1,0,0,0
315,7,0,,,,,0,0,0,0,0,100
316,1,17,,,,,0,0,0,0,0,0
317,6,0,,,,,0,0,0,0,0,100
318,7,0,,,,,0,0,0,0,0,10
319,2,0,,,,,0,0,0,0,0,0
320,1,2,,,2,4,0,0,0,0,0,0
321,2,0,,,,,0,0,0,0,0,0
322,2,0,,,,,0,0,0,0,0,0
323,0,0,,,,,0,0,0,0,0,0
324,4,6,,,2,5,0,0,0,10,0,0
325,0,0,,,,,0,0,0,0,0,0
326,0,0,,,,,0,0,0,0,10,0
327,0,0,,,,,0,0,0,0,0,0
328,4,8,,,5,6,0,0,0,100,0,0
329,9,0,,,,,0,0,0,0,0,0
330,6,0,,,,,0,0,0,0,0,30
331,0,0,2,5,,,0,0,0,0,0,0
332,0,0,,,,,0,0,0,0,0,0
333,0,0,2,5,,,0,0,0,0,0,0
334,2,0,,,,,0,0,0,0,0,0
335,13,0,,,,,0,0,0,0,0,0
336,2,0,,,,,0,0,0,0,0,0
337,0,0,,,,,0,0,0,0,0,0
338,0,0,,,,,0,0,0,0,0,0
339,2,0,,,,,0,0,0,0,0,0
340,4,1,,,,,0,0,0,30,0,0
341,6,0,,,,,0,0,0,0,0,100
342,4,5,,,,,0,0,1,10,0,0
343,0,0,,,,,0,0,0,0,0,0
344,4,1,,,,,-33,0,0,10,0,0
345,0,0,,,,,0,0,0,0,0,0
346,10,0,,,,,0,0,0,0,0,0
347,2,0,,,,,0,0,0,0,0,0
348,0,0,,,,,0,0,1,0,0,0
349,2,0,,,,,0,0,0,0,0,0
350,0,0,2,5,,,0,0,0,0,0,0
351,0,0,,,,,0,0,0,0,0,0
352,4,6,,,2,5,0,0,0,20,0,0
353,13,0,,,,,0,0,0,0,0,0
354,7,0,,,,,0,0,0,0,0,100
355,3,0,,,,,0,50,0,0,0,0
356,10,0,,,,,0,0,0,0,0,0
357,1,17,,,,,0,0,0,0,0,0
358,0,0,,,,,0,0,0,0,0,0
359,7,0,,,,,0,0,0,0,0,100
360,0,0,,,,,0,0,0,0,0,0
361,13,0,,,,,0,0,0,0,0,0
362,0,0,,,,,0,0,0,0,0,0
363,0,0,,,,,0,0,0,0,0,0
364,0,0,,,,,0,0,0,0,0,0
365,0,0,,,,,0,0,0,0,0,0
366,11,0,,,,,0,0,0,0,0,0
367,13,0,,,,,0,0,0,0,0,0
368,0,0,,,,,0,0,0,0,0,0
369,0,0,,,,,0,0,0,0,0,0
370,7,0,,,,,0,0,0,0,0,100
371,0,0,,,,,0,0,0,0,0,0
372,0,0,,,,,0,0,0,0,0,0
373,1,19,,,5,5,0,0,0,0,0,0
374,0,0,,,,,0,0,0,0,0,0
375,13,0,,,,,0,0,0,0,0,0
376,0,0,,,,,0,0,0,0,0,0
377,1,15,,,5,5,0,0,0,0,0,0
378,0,0,,,,,0,0,0,0,0,0
379,13,0,,,,,0,0,0,0,0,0
380,13,0,,,,,0,0,0,0,0,0
381,11,0,,,,,0,0,0,0,0,0
