pokemon_id,stat_id,base_stat,effort
1,1,45,0
1,2,49,0
1,3,49,0
1,4,65,1
1,5,65,0
1,6,45,0
2,1,60,0
2,2,62,0
2,3,63,0
2,4,80,1
2,5,80,1
2,6,60,0
3,1,80,0
3,2,82,0
3,3,83,0
3,4,100,2
3,5,100,1
3,6,80,0
4,1,39,0
4,2,52,0
4,3,43,0
4,4,60,0
4,5,50,0
4,6,65,1
5,1,58,0
5,2,64,0
5,3,58,0
5,4,80,1
5,5,65,0
5,6,80,1
6,1,78,0
6,2,84,0
6,3,78,0
6,4,109,3
6,5,85,0
6,6,100,0
7,1,44,0
7,2,48,0
7,3,65,1
7,4,50,0
7,5,64,0
7,6,43,0
8,1,59,0
8,2,63,0
8,3,80,1
8,4,65,0
8,5,80,1
8,6,58,0
9,1,79,0
9,2,83,0
9,3,100,0
9,4,85,0
9,5,105,3
9,6,78,0
10,1,45,1
10,2,30,0
10,3,35,0
10,4,20,0
10,5,20,0
10,6,45,0
11,1,50,0
11,2,20,0
11,3,55,2
11,4,25,0
11,5,25,0
11,6,30,0
12,1,60,0
12,2,45,0
12,3,50,0
12,4,90,2
12,5,80,1
12,6,70,0
13,1,40,0
13,2,35,0
13,3,30,0
13,4,20,0
13,5,20,0
13,6,50,1
14,1,45,0
14,2,25,0
14,3,50,2
14,4,25,0
14,5,25,0
14,6,35,0
15,1,65,0
15,2,90,2
15,3,40,0
15,4,45,0
15,5,80,1
15,6,75,0
16,1,40,0
16,2,45,0
16,3,40,0
16,4,35,0
16,5,35,0
16,6,56,1
17,1,63,0
17,2,60,0
17,3,55,0
17,4,50,0
17,5,50,0
17,6,71,2
18,1,83,0
18,2,80,0
18,3,75,0
18,4,70,0
18,5,70,0
18,6,101,3
19,1,30,0
19,2,56,0
19,3,35,0
19,4,25,0
19,5,35,0
19,6,72,1
20,1,55,0
20,2,81,0
20,3,60,0
20,4,50,0
20,5,70,0
20,6,97,2
21,1,40,0
21,2,60,0
21,3,30,0
21,4,31,0
21,5,31,0
21,6,70,1
22,1,65,0
22,2,90,0
22,3,65,0
22,4,61,0
22,5,61,0
22,6,100,2
23,1,35,0
23,2,60,1
23,3,44,0
23,4,40,0
23,5,54,0
23,6,55,0
24,1,60,0
24,2,95,2
24,3,69,0
24,4,65,0
24,5,79,0
24,6,80,0
25,1,35,0
25,2,55,0
25,3,40,0
25,4,50,0
25,5,50,0
25,6,90,2
26,1,60,0
26,2,90,0
26,3,55,0
26,4,90,0
26,5,80,0
26,6,110,3
27,1,50,0
27,2,75,0
27,3,85,1
27,4,20,0
27,5,30,0
27,6,40,0
28,1,75,0
28,2,100,0
28,3,110,2
28,4,45,0
28,5,55,0
28,6,65,0
29,1,55,1
29,2,47,0
29,3,52,0
29,4,40,0
29,5,40,0
29,6,41,0
30,1,70,2
30,2,62,0
30,3,67,0
30,4,55,0
30,5,55,0
30,6,56,0
31,1,90,3
31,2,92,0
31,3,87,0
31,4,75,0
31,5,85,0
31,6,76,0
32,1,46,0
32,2,57,1
32,3,40,0
32,4,40,0
32,5,40,0
32,6,50,0
33,1,61,0
33,2,72,2
33,3,57,0
33,4,55,0
33,5,55,0
33,6,65,0
34,1,81,0
34,2,102,3
34,3,77,0
34,4,85,0
34,5,75,0
34,6,85,0
35,1,70,2
35,2,45,0
35,3,48,0
35,4,60,0
35,5,65,0
35,6,35,0
36,1,95,3
36,2,70,0
36,3,73,0
36,4,95,0
36,5,90,0
36,6,60,0
37,1,38,0
37,2,41,0
37,3,40,0
37,4,50,0
37,5,65,0
37,6,65,1
38,1,73,0
38,2,76,0
38,3,75,0
38,4,81,0
38,5,100,1
38,6,100,1
39,1,115,2
39,2,45,0
39,3,20,0
39,4,45,0
39,5,25,0
39,6,20,0
40,1,140,3
40,2,70,0
40,3,45,0
40,4,85,0
40,5,50,0
40,6,45,0
41,1,40,0
41,2,45,0
41,3,35,0
41,4,30,0
41,5,40,0
41,6,55,1
42,1,75,0
42,2,80,0
42,3,70,0
42,4,65,0
42,5,75,0
42,6,90,2
43,1,45,0
43,2,50,0
43,3,55,0
43,4,75,1
43,5,65,0
43,6,30,0
44,1,60,0
44,2,65,0
44,3,70,0
44,4,85,2
44,5,75,0
44,6,40,0
45,1,75,0
45,2,80,0
45,3,85,0
45,4,110,3
45,5,90,0
45,6,50,0
46,1,35,0
46,2,70,1
46,3,55,0
46,4,45,0
46,5,55,0
46,6,25,0
47,1,60,0
47,2,95,2
47,3,80,1
47,4,60,0
47,5,80,0
47,6,30,0
48,1,60,0
48,2,55,0
48,3,50,0
48,4,40,0
48,5,55,1
48,6,45,0
